"Data","GJGB10 Index"
2001-01-02,0
2001-01-03,0
2001-01-04,0
2001-01-05,6.40068972822458e-05
2001-01-08,0
2001-01-09,0
2001-01-10,6.18585613431902e-05
2001-01-11,6.14678303240162e-05
2001-01-12,5.97872501720511e-05
2001-01-15,6.05299195115202e-05
2001-01-16,6.20929815630526e-05
2001-01-17,6.26789717789573e-05
2001-01-18,6.05299195117487e-05
2001-01-19,5.99436131161667e-05
2001-01-22,5.81841760885857e-05
2001-01-26,0.0002308788291713
2001-01-29,5.69716673342582e-05
2001-01-30,5.88489436184867e-05
2001-01-31,5.9005343390171e-05
2001-02-01,5.87316397605758e-05
2001-02-02,6.02954073067977e-05
2001-02-05,5.86534352699969e-05
2001-02-06,5.92399315371786e-05
2001-02-07,5.75192976254838e-05
2001-02-08,5.77148616323003e-05
2001-02-09,5.66587019410522e-05
2001-02-12,0
2001-02-13,0
2001-02-14,5.57196582339616e-05
2001-02-15,5.53674597766204e-05
2001-02-16,5.53283246930948e-05
2001-02-19,5.39583545333273e-05
2001-02-20,5.49760916399067e-05
2001-02-21,5.39583545330219e-05
2001-02-22,5.75192976256798e-05
2001-02-23,5.67369455938956e-05
2001-02-26,5.59544399103465e-05
2001-02-27,5.43889673441214e-05
2001-02-28,5.32144591324856e-05
2001-03-02,9.65577726643025e-05
2001-03-05,4.88657658023875e-05
2001-03-06,4.72975049737927e-05
2001-03-07,4.49047181005841e-05
2001-03-08,4.63170283958052e-05
2001-03-09,4.8277740328182e-05
2001-03-12,4.7140644934753e-05
2001-03-13,4.67484678164225e-05
2001-03-14,4.53755438265209e-05
2001-03-15,4.51793732020581e-05
2001-03-16,4.51793732021534e-05
2001-03-19,4.51401379181472e-05
2001-03-20,0
2001-03-21,0
2001-03-22,4.21571252417945e-05
2001-03-23,4.51401379182848e-05
2001-03-26,4.53755438263867e-05
2001-03-27,4.89049644152183e-05
2001-03-28,5.25879131551196e-05
2001-03-29,5.3606000340583e-05
2001-03-30,5.03942260059698e-05
2001-04-02,5.36451523454651e-05
2001-04-03,5.24312612647405e-05
2001-04-04,5.18829311396475e-05
2001-04-06,0.000101770482324013
2001-04-09,5.08252241728397e-05
2001-04-10,5.23920973295825e-05
2001-04-11,5.22354377398808e-05
2001-04-12,5.68934282906178e-05
2001-04-13,5.66978239596154e-05
2001-04-16,5.73237240193436e-05
2001-04-17,5.72846081457926e-05
2001-04-18,5.92399315370761e-05
2001-04-19,5.86143324490691e-05
2001-04-20,5.7480183672321e-05
2001-04-23,5.49369527118577e-05
2001-04-24,5.38017565170059e-05
2001-04-25,5.22354377397356e-05
2001-04-26,5.33710802330844e-05
2001-04-27,5.27837193573263e-05
2001-04-30,0
2001-05-02,0
2001-05-03,0
2001-05-04,0
2001-05-07,0
2001-05-08,5.18045921041656e-05
2001-05-09,5.08252241729557e-05
2001-05-10,5.09819392203009e-05
2001-05-11,5.082522417271e-05
2001-05-14,5.01591164442753e-05
2001-05-15,5.09035824670184e-05
2001-05-16,4.94537045047732e-05
2001-05-17,4.94928973334168e-05
2001-05-18,4.94537045047311e-05
2001-05-21,5.09819392202158e-05
2001-05-22,5.07076838421007e-05
2001-05-23,5.18437618142899e-05
2001-05-24,5.07860444479841e-05
2001-05-25,5.04725927768956e-05
2001-05-28,4.99239930076418e-05
2001-05-29,5.05901400435166e-05
2001-05-30,5.06293216948201e-05
2001-05-31,4.91009516945606e-05
2001-06-01,4.9257734576937e-05
2001-06-04,4.90617550099705e-05
2001-06-05,4.82777403281793e-05
2001-06-07,9.87530543338569e-05
2001-06-08,4.92577345770557e-05
2001-06-11,4.83169447264868e-05
2001-06-12,4.76112065267961e-05
2001-06-13,4.67484678165949e-05
2001-06-14,4.59639977529895e-05
2001-06-15,4.71406449347284e-05
2001-06-18,4.72582905429956e-05
2001-06-19,4.69445612011141e-05
2001-06-20,4.72975049739146e-05
2001-06-21,4.66308071530894e-05
2001-06-22,4.67092479814859e-05
2001-06-25,4.55324733716743e-05
2001-06-26,4.53363104740774e-05
2001-06-27,4.51401379184165e-05
2001-06-28,4.47870029751561e-05
2001-06-29,4.71014289599388e-05
2001-07-02,5.04725927770002e-05
2001-07-03,5.07860444479782e-05
2001-07-04,5.01591164441056e-05
2001-07-05,4.92577345767939e-05
2001-07-06,4.92577345769901e-05
2001-07-09,5.31753028953047e-05
2001-07-10,5.35276951772034e-05
2001-07-11,5.12170002342479e-05
2001-07-12,5.02374878394433e-05
2001-07-13,5.16479094116447e-05
2001-07-16,5.33710802330328e-05
2001-07-18,0.000108037071380528
2001-07-19,5.45846850562661e-05
2001-07-20,0
2001-07-23,0
2001-07-24,5.57196582338273e-05
2001-07-25,5.47412523037679e-05
2001-07-26,5.2783719357225e-05
2001-07-27,5.21179390051305e-05
2001-07-30,5.23920973298247e-05
2001-07-31,5.27837193573641e-05
2001-08-01,5.27837193572915e-05
2001-08-02,5.30186740983878e-05
2001-08-03,5.4193240017389e-05
2001-08-06,5.54065944763961e-05
2001-08-07,5.67760668443726e-05
2001-08-08,5.41540933983339e-05
2001-08-09,5.34493884749062e-05
2001-08-10,5.20004368050195e-05
2001-08-13,5.16479094118051e-05
2001-08-14,5.14128738196484e-05
2001-08-16,0.000102593331313775
2001-08-17,5.25879131553083e-05
2001-08-20,5.3331925534996e-05
2001-08-21,5.36451523454456e-05
2001-08-22,5.4271532102133e-05
2001-08-23,5.54457287912407e-05
2001-08-24,5.49760916399567e-05
2001-08-27,5.59544399103264e-05
2001-08-28,5.47412523038321e-05
2001-08-29,5.4741252303704e-05
2001-08-30,5.39975030755807e-05
2001-08-31,5.4349822647932e-05
2001-09-03,5.55239962681147e-05
2001-09-04,5.49369527116699e-05
2001-09-05,5.43498226481715e-05
2001-09-06,5.54848627217289e-05
2001-09-07,5.57196582339034e-05
2001-09-10,5.59153105915856e-05
2001-09-11,5.60718255604855e-05
2001-09-12,5.65413335802418e-05
2001-09-13,5.70890230188776e-05
2001-09-14,5.59153105918283e-05
2001-09-17,5.2979515936833e-05
2001-09-18,5.36060003406966e-05
2001-09-19,5.55631294298125e-05
2001-09-20,5.63065864862615e-05
2001-09-21,5.49369527118764e-05
2001-09-24,0
2001-09-25,0
2001-09-26,5.59544399104075e-05
2001-09-27,5.5328324693197e-05
2001-09-28,5.57587894739332e-05
2001-10-04,0.000218474009374741
2001-10-05,5.47021110686194e-05
